drink,hour,units_sold,sales_usd,price,rating
Latte,7,18,81.00,4.50,4.6
Cappuccino,7,12,51.00,4.25,4.3
Cold Brew,7,9,40.50,4.50,4.7
Americano,8,20,70.00,3.50,4.2
Latte,8,22,99.00,4.50,4.6
Mocha,8,14,70.00,5.00,4.5
Caramel Latte,9,25,125.00,5.00,4.8
Cappuccino,9,15,63.75,4.25,4.3
Cold Brew,9,11,49.50,4.50,4.7
Americano,10,10,35.00,3.50,4.2
Latte,10,19,85.50,4.50,4.6
Mocha,10,13,65.00,5.00,4.5
Caramel Latte,11,21,105.00,5.00,4.8
Cappuccino,11,10,42.50,4.25,4.3
Cold Brew,12,16,72.00,4.50,4.7
Americano,12,17,59.50,3.50,4.2
Latte,13,24,108.00,4.50,4.6
Mocha,13,9,45.00,5.00,4.5
Caramel Latte,14,18,90.00,5.00,4.8
Cappuccino,14,8,34.00,4.25,4.3
Cold Brew,15,14,63.00,4.50,4.7
Americano,15,12,42.00,3.50,4.2
Latte,16,15,67.50,4.50,4.6
Mocha,17,10,50.00,5.00,4.5
Caramel Latte,18,13,65.00,5.00,4.8
Cappuccino,19,7,29.75,4.25,4.3
Cold Brew,20,6,27.00,4.50,4.7
